aX,aY,aZ,gX,gY,gZ
0.819,-0.407,0.387,1.343,0.977,-1.648
0.819,-0.405,0.385,1.770,0.732,-0.977
0.822,-0.401,0.386,1.831,0.732,-0.244
0.821,-0.404,0.390,2.136,0.366,0.183
0.822,-0.408,0.396,2.686,-0.244,0.366
0.826,-0.411,0.394,3.235,-0.488,0.366
0.824,-0.415,0.383,3.906,-0.488,-0.366
0.815,-0.421,0.368,3.784,-0.488,-1.526
0.807,-0.419,0.366,2.441,-0.488,-2.319
0.801,-0.416,0.374,0.610,-0.549,-2.747
0.806,-0.391,0.395,-1.221,-0.427,-2.319
0.813,-0.391,0.395,-0.732,-0.061,-2.441
0.814,-0.396,0.396,0.061,-0.183,-2.991
0.813,-0.407,0.394,1.038,-0.122,-3.845
0.807,-0.423,0.389,1.526,-0.427,-4.333
0.797,-0.434,0.393,1.160,-0.854,-4.028
0.796,-0.441,0.407,1.282,-0.854,-2.991
0.797,-0.432,0.424,2.319,-0.671,-1.892
0.809,-0.424,0.412,4.944,0.000,-1.038
0.839,-0.416,0.405,7.935,0.061,-0.122
0.848,-0.417,0.384,11.841,-1.038,-0.610
0.854,-0.428,0.386,15.991,-1.953,-1.648
0.839,-0.420,0.384,20.813,-2.991,-2.502
0.842,-0.445,0.380,26.184,-3.540,-2.686
0.802,-0.449,0.335,27.832,-5.188,-1.282
0.801,-0.454,0.349,26.611,-6.226,1.648
0.799,-0.447,0.369,24.475,-7.324,4.822
0.806,-0.442,0.378,22.644,-8.301,7.019
0.817,-0.443,0.372,20.325,-9.033,7.935
0.823,-0.446,0.379,17.090,-9.216,7.629
0.815,-0.451,0.393,13.733,-9.155,5.859
0.798,-0.462,0.399,10.864,-8.911,3.540
0.791,-0.482,0.405,9.033,-7.629,1.404
0.791,-0.484,0.407,8.118,-5.981,-0.244
0.800,-0.485,0.401,7.629,-4.822,-1.770
0.802,-0.459,0.383,7.385,-3.662,-4.150
0.806,-0.415,0.373,7.080,-3.296,-6.104
0.806,-0.386,0.365,7.263,-3.662,-8.301
0.795,-0.383,0.368,7.935,-4.578,-10.071
0.780,-0.392,0.376,8.667,-5.310,-11.047
0.757,-0.404,0.387,9.460,-5.859,-11.108
0.733,-0.421,0.403,9.644,-6.165,-9.827
0.724,-0.440,0.420,9.827,-5.859,-7.507
0.736,-0.448,0.429,10.376,-5.005,-5.554
0.756,-0.460,0.436,10.864,-3.235,-4.517
0.762,-0.475,0.429,11.108,-1.587,-4.456
0.756,-0.487,0.415,10.132,0.000,-4.639
0.751,-0.487,0.402,8.423,1.404,-4.944
0.757,-0.476,0.388,6.165,3.601,-5.249
0.767,-0.471,0.381,4.028,5.066,-5.310
0.783,-0.463,0.388,1.892,5.127,-5.066
0.794,-0.447,0.393,0.610,4.883,-4.883
0.795,-0.429,0.392,0.305,4.211,-5.005
0.793,-0.416,0.388,0.854,3.906,-4.822
0.787,-0.418,0.389,1.648,3.540,-3.906
0.778,-0.430,0.393,2.380,2.991,-2.869
0.774,-0.455,0.396,3.113,2.625,-0.977
0.774,-0.474,0.400,3.967,2.808,1.221
0.780,-0.490,0.393,4.517,3.052,2.930
0.781,-0.504,0.387,5.371,3.296,4.333
0.779,-0.509,0.386,5.676,3.479,5.127
0.778,-0.509,0.383,6.042,3.906,5.615
0.779,-0.515,0.382,6.042,4.333,6.409
0.778,-0.510,0.382,6.165,4.883,7.080
0.785,-0.501,0.376,6.287,5.249,7.446
0.790,-0.492,0.371,6.165,5.249,7.568
0.796,-0.472,0.370,5.737,4.883,7.324
0.807,-0.464,0.375,5.371,4.272,6.836
0.807,-0.464,0.376,5.310,3.174,6.226
0.805,-0.463,0.377,4.944,2.075,5.554
0.800,-0.460,0.378,3.967,1.343,4.761
0.795,-0.474,0.383,2.930,0.977,3.662
0.788,-0.484,0.394,2.380,1.343,2.197
0.787,-0.500,0.389,2.136,2.075,0.732
0.790,-0.505,0.378,1.465,2.502,-0.427
0.796,-0.500,0.364,0.305,2.380,-1.465
0.810,-0.486,0.359,-0.793,2.319,-2.136
0.823,-0.472,0.365,-1.465,1.770,-3.113
0.830,-0.457,0.371,-1.709,0.488,-4.028
0.823,-0.449,0.384,-1.404,-0.671,-5.310
0.792,-0.445,0.400,-0.244,-1.404,-6.226
0.753,-0.453,0.391,1.526,-1.160,-5.920
0.731,-0.467,0.377,2.563,-0.549,-4.028
0.737,-0.459,0.393,2.380,0.305,-0.732
0.760,-0.451,0.406,2.930,1.526,2.197
0.785,-0.461,0.395,4.944,1.953,3.601
0.790,-0.487,0.381,6.592,1.953,3.662
0.787,-0.499,0.377,7.141,1.526,2.625
0.784,-0.502,0.374,6.836,1.465,1.770
0.795,-0.507,0.369,6.226,1.526,0.610
0.789,-0.492,0.354,5.066,1.099,-0.977
0.782,-0.476,0.343,3.845,0.671,-2.258
0.780,-0.475,0.344,2.625,0.488,-2.869
0.772,-0.476,0.355,1.709,0.366,-3.357
0.771,-0.481,0.376,1.221,0.122,-3.113
0.770,-0.488,0.391,1.587,-0.366,-2.625
0.769,-0.500,0.396,2.502,-0.122,-2.136
0.763,-0.506,0.398,3.601,0.427,-2.136
0.763,-0.509,0.393,4.089,0.916,-1.221
0.774,-0.515,0.381,4.700,1.099,-0.122
0.786,-0.518,0.370,4.761,1.587,0.122
0.796,-0.521,0.359,3.967,2.014,-0.122
0.794,-0.519,0.355,3.052,2.014,-0.793
0.782,-0.520,0.364,1.831,1.831,-1.526
0.773,-0.513,0.364,0.488,1.831,-0.732
0.785,-0.495,0.364,-1.038,1.831,0.671
0.800,-0.472,0.367,-1.770,1.770,0.854
0.802,-0.475,0.367,-1.404,1.160,0.244
0.789,-0.485,0.363,-1.221,0.671,-0.854
0.768,-0.495,0.366,-1.038,0.244,-1.465
0.753,-0.500,0.369,-1.587,0.244,-1.038
0.761,-0.498,0.378,-2.014,0.793,-0.122
0.773,-0.485,0.393,-1.953,1.404,0.244
0.775,-0.479,0.391,-1.465,1.648,-0.305
0.760,-0.485,0.382,-1.221,2.075,-0.916
0.746,-0.440,0.472,-1.343,2.869,-0.366
0.758,-0.414,0.471,1.465,4.089,1.160
0.766,-0.396,0.426,5.432,5.371,2.563
0.796,-0.399,0.366,6.897,5.859,3.479
0.817,-0.401,0.348,5.920,5.859,3.174
0.818,-0.419,0.349,3.540,5.005,2.258
0.817,-0.444,0.346,1.282,4.150,1.709
0.820,-0.464,0.344,-0.671,2.808,1.587
0.825,-0.477,0.364,-2.380,1.343,1.770
0.826,-0.485,0.389,-3.113,-0.305,1.465
0.812,-0.496,0.388,-3.174,-0.854,0.732
0.785,-0.515,0.376,-3.357,-1.343,0.549
0.767,-0.525,0.386,-3.845,-1.465,1.282
0.765,-0.519,0.401,-3.906,-0.793,2.563
0.777,-0.516,0.399,-3.174,0.000,3.845
0.810,-0.500,0.372,-0.916,0.916,3.357
0.817,-0.504,0.360,-0.977,0.854,1.343
0.813,-0.511,0.363,-1.160,0.183,-0.732
0.809,-0.510,0.371,-1.770,-0.854,-2.441
0.807,-0.500,0.376,-2.380,-1.526,-3.662
0.794,-0.492,0.380,-2.502,-2.197,-4.272
0.775,-0.494,0.388,-2.136,-2.930,-4.211
0.732,-0.484,0.400,-1.587,-3.296,-2.808
0.778,-0.499,0.399,-0.488,-3.357,-0.366
0.682,-0.472,0.411,0.916,-2.991,2.502
0.787,-0.486,0.381,2.197,-2.197,5.310
0.701,-0.463,0.403,2.869,-1.343,7.385
0.791,-0.464,0.361,2.991,-0.916,8.606
0.763,-0.457,0.407,2.991,-0.366,7.935
0.766,-0.443,0.360,2.869,0.183,6.714
0.828,-0.465,0.411,2.869,0.427,4.578
0.727,-0.443,0.370,3.113,0.183,2.075
0.861,-0.511,0.393,2.869,-0.061,-0.122
0.690,-0.488,0.377,2.075,-0.305,-1.953
0.864,-0.527,0.375,0.854,-0.244,-2.991
0.702,-0.479,0.401,-0.732,-0.793,-3.540
0.837,-0.508,0.350,-1.587,-0.732,-4.089
0.719,-0.482,0.403,-3.296,-1.221,-4.395
0.765,-0.486,0.355,-5.066,-1.648,-3.174
0.774,-0.493,0.426,-5.737,-1.282,-2.014
0.719,-0.463,0.386,-5.737,-0.732,-0.488
0.829,-0.494,0.426,-4.761,-0.549,0.793
0.686,-0.448,0.390,-3.845,-0.305,1.892
0.865,-0.494,0.405,-2.686,-0.183,2.808
0.688,-0.459,0.406,-1.831,-0.549,3.052
0.865,-0.503,0.382,-1.282,-0.244,3.174
0.727,-0.488,0.417,-1.160,-0.671,2.502
0.823,-0.509,0.369,-1.526,-1.465,2.075
0.765,-0.507,0.418,-2.258,-1.953,1.404
0.741,-0.489,0.362,-3.296,-2.014,1.221
0.802,-0.506,0.417,-4.150,-1.404,1.221
0.688,-0.459,0.377,-4.333,-0.916,1.465
0.847,-0.490,0.409,-3.662,-0.488,2.197
0.679,-0.444,0.400,-2.869,-0.549,2.869
0.867,-0.486,0.399,-1.892,-1.099,3.662
0.695,-0.450,0.421,-1.221,-1.892,4.028
0.838,-0.479,0.387,-0.427,-1.892,4.395
0.729,-0.470,0.432,0.000,-1.831,4.517
0.775,-0.474,0.374,0.366,-1.282,4.883
0.781,-0.490,0.430,0.916,-0.854,4.517
0.724,-0.472,0.376,1.160,-0.549,4.578
0.845,-0.513,0.416,1.343,-0.244,3.967
0.687,-0.473,0.381,0.732,-0.488,3.235
0.867,-0.518,0.399,0.305,-0.854,2.869
0.678,-0.474,0.406,-0.488,-1.282,2.380
0.848,-0.510,0.390,-0.732,-1.160,2.197
0.694,-0.478,0.428,-1.160,-1.160,1.892
0.797,-0.485,0.379,-1.221,-0.671,2.258
0.741,-0.480,0.434,-1.099,-0.305,2.441
0.736,-0.460,0.380,-1.099,0.122,2.930
0.810,-0.481,0.439,-0.793,0.854,3.052
0.705,-0.447,0.393,-0.122,0.671,3.052
0.864,-0.492,0.425,0.732,0.549,2.930
0.689,-0.454,0.406,0.977,-0.061,2.625
0.878,-0.502,0.405,0.854,-0.549,2.380
0.696,-0.469,0.420,0.244,-0.916,1.709
0.849,-0.503,0.386,-0.610,-1.221,1.343
0.737,-0.494,0.432,-1.587,-1.709,0.549
0.802,-0.497,0.376,-2.930,-2.441,0.427
0.798,-0.509,0.433,-4.456,-3.784,0.183
0.729,-0.475,0.377,-5.737,-4.944,-0.061
0.849,-0.494,0.424,-6.836,-4.761,-0.366
0.706,-0.445,0.391,-7.385,-5.188,0.000
0.888,-0.485,0.406,-7.263,-6.409,0.854
0.692,-0.445,0.416,-7.385,-7.568,1.221
0.872,-0.485,0.398,-7.446,-7.812,1.526
0.718,-0.470,0.444,-7.446,-8.545,2.136
0.819,-0.487,0.389,-8.179,-10.071,3.479
0.750,-0.490,0.455,-9.644,-11.292,4.089
0.747,-0.489,0.401,-10.986,-11.536,4.761
0.794,-0.511,0.466,-12.329,-11.292,4.883
0.691,-0.482,0.418,-13.733,-11.597,5.310
0.840,-0.523,0.451,-14.954,-14.221,6.348
0.656,-0.467,0.440,-16.235,-16.724,7.202
0.875,-0.480,0.429,-17.883,-17.212,7.812
0.725,-0.413,0.460,-18.921,-19.470,8.179
0.892,-0.416,0.418,-18.799,-24.231,8.667
0.797,-0.409,0.482,-18.188,-29.053,8.301
0.868,-0.420,0.421,-17.517,-34.973,8.545
0.875,-0.455,0.490,-17.090,-42.847,9.338
0.810,-0.447,0.443,-18.372,-51.025,10.437
0.913,-0.505,0.487,-21.301,-57.678,11.047
0.774,-0.479,0.474,-26.123,-62.256,10.010
0.930,-0.526,0.496,-31.494,-67.505,8.606
0.728,-0.486,0.514,-37.537,-71.350,6.287
0.890,-0.515,0.495,-43.152,-74.524,3.296
0.743,-0.488,0.564,-48.523,-78.003,0.183
0.889,-0.472,0.521,-54.077,-82.275,-1.526
