aX,aY,aZ,gX,gY,gZ
-0.038,-0.046,0.634,-4.211,0.671,-2.258
0.039,-0.053,0.830,-4.089,1.648,-2.441
0.177,-0.072,1.031,-4.333,-0.427,-2.258
0.094,-0.053,1.256,-3.540,0.061,-1.953
-0.017,-0.058,0.923,-1.526,1.404,-1.282
0.021,-0.046,0.656,0.793,1.038,-0.427
0.077,-0.041,0.985,2.991,2.502,0.183
-0.013,-0.067,1.003,2.625,0.000,0.977
0.095,-0.025,1.006,1.221,1.770,1.465
0.065,-0.008,1.093,-0.610,0.488,1.465
-0.001,0.003,0.906,-1.709,0.000,1.282
0.015,0.008,0.836,-1.160,1.038,1.587
-0.016,-0.004,0.927,0.916,0.549,1.648
0.121,-0.003,1.134,2.502,1.221,1.648
0.035,0.006,1.016,1.709,0.000,1.953
-0.013,0.017,0.866,0.122,0.122,2.258
-0.017,-0.020,0.960,0.183,0.793,2.197
0.054,-0.022,1.083,0.854,0.549,1.953
0.000,-0.014,0.995,1.587,0.854,1.404
-0.027,-0.017,0.781,0.549,1.099,0.427
0.050,0.004,0.914,-0.183,0.854,-0.488
0.083,-0.017,1.088,0.854,1.221,-1.160
-0.029,-0.039,1.000,1.099,0.854,-1.587
0.025,0.009,0.986,1.282,1.953,-1.221
0.064,-0.008,0.860,1.160,1.282,-0.671
0.064,-0.048,1.127,1.770,1.160,0.732
-0.004,-0.077,1.057,1.953,1.038,0.793
0.014,-0.005,0.811,1.404,0.916,0.549
0.037,-0.021,0.862,1.282,1.160,0.488
0.125,-0.057,1.012,1.404,0.610,0.366
0.023,-0.050,1.042,1.587,1.038,0.793
0.028,-0.059,0.922,1.587,1.221,1.343
0.008,-0.064,0.994,1.160,1.282,1.404
0.080,-0.028,0.966,0.854,1.282,1.526
0.008,-0.085,0.983,0.671,1.038,1.465
0.015,-0.025,1.019,1.038,1.038,0.793
0.004,0.002,0.755,0.793,1.648,0.610
0.057,-0.009,0.832,0.916,1.648,0.916
0.113,-0.036,1.109,1.465,0.977,1.038
0.124,-0.070,1.208,0.671,0.916,1.770
-0.012,-0.097,1.082,0.732,1.099,1.770
-0.037,-0.003,0.695,0.793,0.793,1.709
0.091,-0.013,0.882,0.671,1.648,1.160
0.101,-0.049,0.974,0.244,0.366,0.793
-0.018,-0.025,1.078,0.244,0.793,0.854
0.017,-0.042,0.893,0.854,1.709,1.221
0.016,-0.015,0.848,1.404,0.732,1.343
0.108,-0.043,1.022,1.587,1.770,1.221
0.026,-0.053,0.962,0.793,1.526,0.793
0.016,-0.015,0.859,1.099,1.648,0.977
0.068,0.003,0.898,1.404,1.038,1.099
-0.028,-0.017,0.800,1.465,0.488,1.404
0.186,-0.034,0.970,1.587,1.953,1.221
0.089,-0.080,1.277,0.793,0.488,1.221
0.024,-0.089,1.019,1.160,1.221,1.282
0.015,-0.005,0.855,1.892,0.610,0.854
0.007,-0.025,0.806,2.319,2.136,0.671
0.162,-0.026,1.028,0.732,0.732,1.404
-0.020,-0.037,1.098,-0.305,0.244,1.587
-0.009,-0.037,0.896,1.221,1.465,1.892
0.054,-0.016,0.879,2.563,1.587,1.953
0.024,-0.009,0.943,2.014,1.343,1.709
-0.034,-0.016,0.841,0.610,1.221,0.916
0.110,-0.024,1.050,0.916,1.343,0.732
0.023,-0.072,1.129,1.892,0.610,0.793
-0.017,-0.043,0.917,1.526,0.732,0.488
0.030,-0.004,0.832,0.610,1.099,0.366
0.033,-0.030,0.947,0.793,0.977,-0.305
0.047,-0.067,1.037,1.282,1.038,-0.732
-0.025,-0.056,1.026,1.282,0.854,-0.916
0.012,-0.070,0.957,0.854,1.404,-0.305
-0.025,-0.028,0.982,0.549,0.916,0.000
0.088,-0.082,1.062,0.000,1.587,-0.488
0.044,-0.042,1.022,0.610,0.671,-0.854
0.083,-0.111,0.966,0.427,1.709,-1.343
-0.009,0.003,0.941,0.916,0.671,-1.099
0.011,-0.002,0.785,0.427,1.404,-1.099
0.129,0.013,0.926,0.183,0.732,-0.671
0.159,-0.026,1.076,1.038,1.404,-0.305
-0.055,-0.063,1.009,0.854,0.366,0.488
0.099,-0.056,0.950,1.526,1.526,0.427
0.043,-0.070,0.965,1.709,0.793,0.183
-0.035,-0.027,0.908,1.770,1.038,0.793
0.061,-0.015,0.993,1.038,1.587,0.793
0.048,-0.072,1.121,1.099,0.610,1.587
-0.024,-0.085,1.001,2.075,0.854,1.526
-0.004,-0.006,0.838,1.770,0.977,1.282
0.067,-0.049,0.913,0.610,1.526,0.671
0.101,-0.042,0.922,0.488,0.793,0.610
-0.048,-0.017,0.910,1.343,0.793,0.854
0.021,-0.029,0.975,1.160,2.014,1.099
0.126,-0.063,1.095,-0.061,0.977,1.404
0.017,-0.080,1.156,0.916,1.343,1.648
-0.097,-0.000,0.771,1.099,0.671,1.465
0.092,0.014,0.875,1.038,2.014,0.916
0.042,-0.024,0.982,1.282,0.977,0.793
0.061,-0.060,1.101,1.587,0.732,1.831
0.003,-0.032,1.033,1.343,0.793,2.014
-0.000,0.002,0.824,1.160,1.160,2.808
0.055,0.011,0.830,1.770,1.404,3.540
0.094,-0.043,1.046,2.563,1.038,4.028
-0.011,-0.074,1.046,1.221,0.488,4.578
0.051,-0.049,0.953,0.916,1.221,4.639
0.025,-0.006,0.844,1.831,1.099,4.761
0.035,-0.035,0.896,1.648,1.465,4.333
0.103,-0.043,0.919,0.549,0.732,3.601
-0.029,-0.049,0.945,1.038,1.038,2.686
0.072,-0.043,0.892,1.099,1.709,2.258
0.056,-0.023,1.015,0.366,1.221,1.465
0.027,-0.036,0.980,0.427,0.488,1.526
-0.071,0.015,0.840,0.793,0.732,1.526
0.133,-0.000,0.918,0.610,1.953,1.221
0.086,-0.122,1.175,0.000,0.610,-0.183
-0.073,-0.035,1.008,1.587,1.282,0.366
-0.035,0.045,0.643,1.404,1.526,0.610
0.055,0.020,0.829,0.793,1.099,1.404
-0.076,0.005,1.075,0.977,0.488,2.747
0.034,-0.084,1.210,0.854,1.160,2.930
0.039,-0.064,0.985,1.587,1.343,2.625
0.011,-0.035,0.846,1.343,0.732,2.075
0.009,-0.028,0.932,0.793,1.282,1.526
0.020,-0.006,0.798,1.038,1.343,2.075
0.055,-0.001,1.020,1.953,1.038,2.991
0.170,-0.108,1.217,1.465,0.854,2.930
0.044,-0.059,1.008,0.122,1.099,2.319
0.016,-0.028,0.855,1.404,1.770,1.709
-0.058,-0.001,0.780,2.441,1.038,1.465
0.063,-0.029,1.116,1.099,0.488,1.465
0.029,-0.064,1.061,0.061,1.343,1.465
0.057,-0.036,0.865,1.587,1.160,2.441
0.011,-0.011,0.916,2.441,1.221,2.930
-0.011,-0.031,0.986,1.221,0.854,2.869
0.080,-0.044,1.002,-0.183,1.465,2.014
-0.034,0.009,0.974,1.099,1.160,1.526
0.047,-0.061,1.023,2.319,1.221,1.038
0.098,-0.017,0.890,1.587,0.977,1.465
-0.035,-0.015,0.868,0.671,1.404,1.892
0.035,-0.010,1.064,0.916,0.977,2.747
0.016,-0.057,1.075,0.671,0.427,2.319
-0.016,-0.058,1.044,1.465,1.709,2.319
-0.035,0.014,0.670,0.793,1.282,2.136
0.053,0.009,0.993,1.221,1.404,1.343
-0.027,-0.056,1.100,1.709,0.488,1.770
-0.012,-0.037,1.044,0.854,0.854,2.563
0.045,-0.070,1.125,0.061,0.671,2.441
0.001,-0.045,1.124,0.000,0.244,3.052
-0.034,-0.004,0.833,0.000,1.221,2.869
-0.013,0.015,0.762,1.526,1.282,2.625
0.135,-0.039,1.009,2.319,1.587,2.136
0.010,-0.089,1.051,0.732,1.038,1.343
0.035,-0.057,0.928,0.244,1.160,0.977
0.058,-0.072,0.999,1.404,1.343,1.465
0.069,-0.072,0.953,1.831,1.282,2.258
0.113,-0.057,0.967,0.732,1.038,2.319
-0.015,-0.009,0.902,0.366,0.671,2.319
-0.009,0.007,0.871,0.916,1.587,1.892
0.051,0.000,1.052,1.587,0.854,1.587
0.061,-0.085,1.158,1.526,0.916,2.075
0.006,-0.044,0.974,0.488,0.610,2.319
0.001,0.004,0.760,0.549,1.526,2.197
-0.004,-0.001,0.882,1.526,0.916,2.502
0.118,-0.060,1.065,1.282,1.038,2.258
0.033,-0.081,1.105,1.282,1.099,2.136
0.006,-0.081,0.910,1.221,1.404,1.526
0.017,-0.002,0.744,1.160,1.648,1.709
0.050,-0.019,0.898,1.587,1.465,1.892
0.199,-0.085,1.105,1.892,1.099,2.075
0.084,-0.080,1.101,0.000,0.793,2.258
-0.011,-0.072,0.936,0.061,0.977,2.441
-0.071,0.038,0.595,1.770,1.282,2.686
0.056,0.030,1.020,2.319,1.831,2.197
0.153,-0.065,1.117,0.183,0.122,1.892
0.067,-0.107,1.146,-0.183,0.977,1.648
-0.096,0.021,0.751,2.075,1.160,1.953
0.020,-0.005,0.898,2.258,0.916,2.197
0.098,-0.017,1.060,0.305,0.854,2.258
